Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
A. Morin,Agua Grande,1876,2016,63%,France,3.75,N/A,Sao Tome
A. Morin,Kpime,1676,2015,70%,France,2.75,N/A,Togo
A. Morin,Atsane,1676,2015,70%,France,3,N/A,Togo
A. Morin,Akata,1680,2015,70%,France,3.5,N/A,Togo
A. Morin,Quilla,1704,2015,70%,France,3.5,N/A,Peru
A. Morin,Cuba,1315,2014,70%,France,3.5,N/A,Cuba
A. Morin,Pablino,1319,2014,70%,France,4,N/A,Peru
A. Morin,Panama,1011,2013,70%,France,2.75,N/A,Panama
A. Morin,Brazil,1011,2013,70%,France,3.25,N/A,Brazil
A. Morin,Equateur,1011,2013,70%,France,3.75,N/A,Ecuador
A. Morin,Colombie,1015,2013,70%,France,2.75,N/A,Colombia
A. Morin,Birmanie,1015,2013,70%,France,3,N/A,Burma
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25,N/A,Papua New Guinea
A. Morin,Piura,1019,2013,70%,France,3.25,N/A,Peru
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5,N/A,Peru
A. Morin,Chanchamayo Province,1019,2013,63%,France,4,N/A,Peru
A. Morin,Bolivia,797,2012,70%,France,3.5,N/A,Bolivia
A. Morin,Peru,797,2012,63%,France,3.75,N/A,Peru
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75,N/A,Peru
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5,N/A,Peru
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75,N/A,Nicaragua
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3,N/A,Peru
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5,N/A,Bolivia
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5,N/A,Peru
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75,N/A,Ecuador
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5,N/A,Venezuela
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25,N/A,Bolivia
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3,N/A,Bolivia
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25,N/A,Peru
Amano,Morobe,725,2011,70%,U.S.A.,4,N/A,Papua New Guinea
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75,N/A,Dominican Republic
Amano,Guayas,470,2010,70%,U.S.A.,4,N/A,Ecuador
Amano,Montanya,363,2009,70%,U.S.A.,3,N/A,Venezuela
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75,N/A,Indonesia
Amano,Cuyagua,147,2007,70%,U.S.A.,3,N/A,Venezuela
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75,N/A,Ecuador
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75,N/A,Ecuador
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25,N/A,Peru
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25,N/A,Dominican Republic
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25,N/A,Papua New Guinea
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25,N/A,Venezuela
Ambrosia,Peru,1498,2015,68%,Canada,3.5,N/A,Peru
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75,N/A,Peru
Anahata,Elvesia,1259,2014,75%,U.S.A.,3,N/A,Dominican Republic
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5,N/A,Bolivia
Ara,Chiapas,1379,2014,72%,France,2.5,N/A,Mexico
Ara,Equateur,1379,2014,75%,France,2.75,N/A,Ecuador
Ara,Trincheras,1379,2014,75%,France,3,N/A,Venezuela
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75,N/A,Tanzania
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25,N/A,Ecuador
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25,N/A,Ecuador
Arete,Lachua,1904,2016,70%,U.S.A.,3.5,N/A,Guatemala
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75,N/A,Nicaragua
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5,N/A,Honduras
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4,N/A,Costa Rica
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75,N/A,Dominican Republic
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25,N/A,Fiji
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25,N/A,Vietnam
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5,N/A,Brazil
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5,N/A,Domincan Republic
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75,N/A,Brazil
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25,N/A,Guatemala
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5,N/A,Ecuador
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75,N/A,Colombia
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4,N/A,Haiti
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75,N/A,Panama
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75,N/A,Venezuela
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25,N/A,Costa Rica
