,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Broad Bean Origin
0,A. Morin,Agua Grande,1876,2016,63,France,3.75,Sao Tome
1,A. Morin,Kpime,1676,2015,70,France,2.75,Togo
2,A. Morin,Atsane,1676,2015,70,France,3,Togo
3,A. Morin,Akata,1680,2015,70,France,3.5,Togo
4,A. Morin,Quilla,1704,2015,70,France,3.5,Peru
5,A. Morin,Cuba,1315,2014,70,France,3.5,Cuba
6,A. Morin,Pablino,1319,2014,70,France,4,Peru
7,A. Morin,Panama,1011,2013,70,France,2.75,Panama
8,A. Morin,Brazil,1011,2013,70,France,3.25,Brazil
9,A. Morin,Equateur,1011,2013,70,France,3.75,Ecuador
10,A. Morin,Colombie,1015,2013,70,France,2.75,Colombia
11,A. Morin,Birmanie,1015,2013,70,France,3,Burma
12,A. Morin,Papua New Guinea,1015,2013,70,France,3.25,Papua New Guinea
13,A. Morin,Piura,1019,2013,70,France,3.25,Peru
14,A. Morin,Chanchamayo Province,1019,2013,70,France,3.5,Peru
15,A. Morin,Chanchamayo Province,1019,2013,63,France,4,Peru
16,A. Morin,Bolivia,797,2012,70,France,3.5,Bolivia
17,A. Morin,Peru,797,2012,63,France,3.75,Peru
18,Acalli,"Chulucanas, El Platanal",1462,2015,70,U.S.A.,3.75,Peru
19,Alain Ducasse,"Piura, Perou",1173,2013,75,France,2.5,Peru
20,Altus aka Cao Artisan,Momotombo,1728,2016,60,U.S.A.,2.75,Nicaragua
21,Altus aka Cao Artisan,Acopagro,1728,2016,60,U.S.A.,3,Peru
22,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60,U.S.A.,2.5,Bolivia
23,Altus aka Cao Artisan,Villa Andina,1732,2016,60,U.S.A.,2.5,Peru
24,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60,U.S.A.,2.75,Ecuador
25,Altus aka Cao Artisan,Sur del Lago,1125,2013,60,U.S.A.,2.5,Venezuela
26,Altus aka Cao Artisan,Bolivia,1129,2013,80,U.S.A.,3.25,Bolivia
